auc = 0.7966080865183728, eer = 0.24757281553418148
auc = 0.5710208496064411, eer = 0.5393258426953035
auc = 0.6819006764560304, eer = 0.39832535885184567
auc = 0.9528858377828628, eer = 0.10643274853804381
auc = 0.9672070542487061, eer = 0.04620716211012707
auc = 0.8457253129384277, eer = 0.18881118881100092
auc = 0.8151053625184959, eer = 0.21582733812949637
auc = 1.0, eer = 0.0
auc = 0.8827529032646266, eer = 0.22209200117198769
auc = 0.7634178995712373, eer = 0.28651685393169823
auc = 0.7729640151515151, eer = 0.3446969696958909
auc = 0.8736693049943727, eer = 0.23970037453213874
auc = 0.8923240938166311, eer = 0.19483101391650098
auc = 0.9570550351288055, eer = 0.06791569086643827
auc = 0.9459146461659766, eer = 0.15546391752552632
auc = 0.9998855311355311, eer = 0.001373626373626356
auc = 0.32491347379925917, eer = 0.7228144989339018
auc = 1.0, eer = 0.0
auc = 0.7849369988545246, eer = 0.2956852791878173
auc = 0.6513395297977037, eer = 0.40813253012048195
auc = 0.9360131255127153, eer = 0.15094339622750183
