auc = 0.194241631078661, eer = 0.7478991596642995
auc = 1.0, eer = 0.0
auc = 0.8767123287671234, eer = 0.18493150684938958
auc = 1.0, eer = 0.0
auc = 0.9538575119970468, eer = 0.13953488371982758
auc = 0.7705899970050913, eer = 0.20125786163531528
auc = 0.9988643737832577, eer = 0.021739130434713837
auc = 0.8435754189944134, eer = 0.15642458100681045
auc = 1.0, eer = 0.0
auc = 0.03355704697986572, eer = 0.9664429530195084
auc = 0.8547486033519553, eer = 0.14525139664831221
auc = 0.7114624505928854, eer = 0.2785977859778598
